id_student,code_module,code_presentation,gender,region,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,total_clicks_week8,active_days_week8,oucontent_clicks_week8,quiz_clicks_week8,resource_clicks_week8,homepage_clicks_week8,subpage_clicks_week8,glossary_clicks_week8,oucollaborate_clicks_week8,forumng_clicks_week8,label
75091,AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,N,0,60,1211.0,39.0,488.0,0.0,26.0,230.0,91.0,0.0,0.0,341.0,1
77367,AAA,2013J,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,N,0,60,390.0,38.0,153.0,0.0,3.0,114.0,39.0,0.0,0.0,63.0,1
91265,AAA,2013J,M,North Western Region,HE Qualification,0-10%,0-35,N,0,60,587.0,32.0,313.0,0.0,5.0,157.0,74.0,0.0,0.0,3.0,1
94961,AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,N,0,60,339.0,24.0,183.0,0.0,1.0,70.0,57.0,0.0,0.0,12.0,0
98094,AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,N,0,60,1523.0,40.0,1062.0,0.0,27.0,248.0,140.0,0.0,0.0,31.0,1
100893,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,N,0,60,342.0,23.0,104.0,0.0,3.0,74.0,35.0,0.0,1.0,108.0,1
101781,AAA,2013J,M,South Region,Lower Than A Level,80-90%,35-55,N,0,60,1852.0,39.0,1163.0,0.0,7.0,287.0,131.0,0.0,0.0,173.0,1
102806,AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,N,0,60,832.0,54.0,433.0,0.0,6.0,225.0,41.0,0.0,0.0,126.0,1
102952,AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,N,0,60,487.0,17.0,265.0,0.0,3.0,63.0,38.0,0.0,0.0,106.0,1
104476,AAA,2013J,M,Ireland,Post Graduate Qualification,,35-55,N,0,60,1524.0,44.0,734.0,0.0,15.0,317.0,117.0,0.0,5.0,271.0,1
106247,AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,N,0,60,328.0,12.0,167.0,0.0,10.0,71.0,18.0,0.0,1.0,59.0,0
106577,AAA,2013J,M,East Midlands Region,Lower Than A Level,20-30%,0-35,N,0,60,390.0,17.0,192.0,0.0,12.0,105.0,33.0,0.0,0.0,48.0,1
110175,AAA,2013J,M,East Anglian Region,HE Qualification,80-90%,35-55,N,0,60,377.0,26.0,165.0,0.0,18.0,96.0,57.0,0.0,0.0,24.0,1
111717,AAA,2013J,F,East Anglian Region,HE Qualification,90-100%,35-55,N,0,60,921.0,36.0,542.0,0.0,8.0,154.0,64.0,1.0,2.0,127.0,1
113295,AAA,2013J,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,N,0,60,1489.0,48.0,561.0,0.0,6.0,348.0,103.0,0.0,4.0,395.0,1
114017,AAA,2013J,F,North Region,Post Graduate Qualification,,35-55,N,0,60,479.0,20.0,243.0,0.0,18.0,102.0,90.0,0.0,0.0,5.0,1
114999,AAA,2013J,M,Yorkshire Region,HE Qualification,60-70%,35-55,N,0,60,579.0,33.0,362.0,0.0,10.0,91.0,29.0,0.0,0.0,67.0,1
116541,AAA,2013J,M,Wales,HE Qualification,0-10%,0-35,N,0,60,611.0,28.0,332.0,0.0,3.0,157.0,51.0,0.0,0.0,34.0,1
116692,AAA,2013J,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,N,0,60,633.0,32.0,335.0,0.0,6.0,161.0,86.0,0.0,0.0,16.0,1
118983,AAA,2013J,M,East Midlands Region,HE Qualification,30-40%,0-35,N,0,120,127.0,11.0,56.0,0.0,4.0,29.0,28.0,0.0,0.0,7.0,1
123044,AAA,2013J,M,South Region,A Level or Equivalent,40-50%,35-55,N,0,60,984.0,39.0,421.0,0.0,3.0,209.0,107.0,0.0,2.0,195.0,1
127582,AAA,2013J,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,N,0,180,513.0,31.0,221.0,0.0,4.0,129.0,40.0,0.0,0.0,110.0,1
129955,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,N,0,60,751.0,47.0,448.0,0.0,4.0,208.0,39.0,0.0,1.0,25.0,0
132976,AAA,2013J,F,East Anglian Region,Lower Than A Level,80-90%,35-55,N,0,120,157.0,8.0,102.0,0.0,1.0,31.0,12.0,0.0,1.0,10.0,1
134143,AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,N,0,60,909.0,35.0,704.0,0.0,6.0,152.0,37.0,0.0,0.0,5.0,1
135335,AAA,2013J,F,East Anglian Region,Lower Than A Level,20-30%,0-35,N,0,180,57.0,10.0,33.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0
135400,AAA,2013J,F,South East Region,Lower Than A Level,90-100%,35-55,Y,0,60,267.0,19.0,145.0,0.0,3.0,56.0,32.0,0.0,0.0,21.0,0
137873,AAA,2013J,M,South West Region,A Level or Equivalent,40-50%,35-55,N,0,60,1911.0,51.0,462.0,0.0,9.0,275.0,70.0,0.0,0.0,1075.0,1
141355,AAA,2013J,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,N,0,240,776.0,27.0,247.0,0.0,5.0,99.0,37.0,0.0,0.0,378.0,1
141377,AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,0-35,N,0,345,134.0,7.0,48.0,0.0,4.0,30.0,24.0,2.0,0.0,25.0,0
142326,AAA,2013J,F,North Region,A Level or Equivalent,50-60%,35-55,N,0,60,528.0,18.0,261.0,0.0,5.0,100.0,57.0,0.0,0.0,82.0,1
144801,AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,N,0,60,1595.0,51.0,466.0,0.0,37.0,242.0,112.0,1.0,2.0,700.0,1
145130,AAA,2013J,M,South West Region,HE Qualification,60-70%,0-35,N,0,120,256.0,17.0,156.0,0.0,2.0,45.0,17.0,0.0,0.0,36.0,1
146188,AAA,2013J,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,Y,0,60,207.0,13.0,90.0,0.0,6.0,48.0,27.0,0.0,2.0,33.0,0
147756,AAA,2013J,M,North Region,Lower Than A Level,60-70%,0-35,N,0,120,426.0,36.0,187.0,0.0,10.0,115.0,23.0,0.0,0.0,86.0,0
147793,AAA,2013J,F,North Region,Lower Than A Level,80-90%,0-35,N,0,90,154.0,8.0,45.0,0.0,1.0,34.0,18.0,0.0,0.0,56.0,0
148993,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,Y,0,60,1073.0,49.0,285.0,0.0,3.0,205.0,26.0,1.0,0.0,547.0,0
151358,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,0-35,N,0,150,40.0,6.0,24.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,1
155550,AAA,2013J,M,London Region,A Level or Equivalent,0-10%,35-55,N,0,420,575.0,26.0,265.0,0.0,6.0,138.0,85.0,0.0,0.0,46.0,1
155854,AAA,2013J,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,N,0,60,1477.0,57.0,756.0,0.0,9.0,335.0,25.0,0.0,2.0,341.0,1
155984,AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,N,0,60,593.0,24.0,207.0,0.0,19.0,107.0,55.0,0.0,2.0,187.0,0
157568,AAA,2013J,F,South West Region,A Level or Equivalent,90-100%,0-35,N,0,60,528.0,27.0,310.0,0.0,5.0,115.0,53.0,0.0,1.0,17.0,1
159954,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,N,0,60,777.0,40.0,377.0,0.0,4.0,175.0,56.0,0.0,2.0,134.0,0
164259,AAA,2013J,M,Scotland,A Level or Equivalent,70-80%,0-35,N,0,60,115.0,11.0,60.0,0.0,0.0,23.0,16.0,0.0,0.0,6.0,1
167906,AAA,2013J,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,N,0,60,620.0,26.0,250.0,0.0,2.0,149.0,43.0,0.0,0.0,147.0,1
168936,AAA,2013J,F,West Midlands Region,Lower Than A Level,10-20,35-55,N,0,60,317.0,13.0,115.0,0.0,2.0,62.0,16.0,0.0,0.0,117.0,1
172112,AAA,2013J,M,Ireland,HE Qualification,,35-55,N,0,60,333.0,26.0,155.0,0.0,7.0,67.0,31.0,0.0,0.0,60.0,1
172797,AAA,2013J,F,Ireland,A Level or Equivalent,,35-55,N,0,60,298.0,15.0,122.0,0.0,8.0,79.0,56.0,0.0,0.0,22.0,1
174782,AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,N,0,60,2113.0,63.0,562.0,0.0,6.0,440.0,116.0,0.0,3.0,922.0,1
175392,AAA,2013J,M,North Region,HE Qualification,,35-55,N,0,60,1890.0,57.0,553.0,0.0,44.0,382.0,101.0,0.0,0.0,754.0,1
175932,AAA,2013J,M,North Western Region,HE Qualification,70-80%,35-55,N,0,60,1322.0,42.0,840.0,0.0,1.0,204.0,95.0,0.0,0.0,167.0,1
175991,AAA,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,N,0,180,101.0,8.0,53.0,0.0,0.0,24.0,16.0,0.0,0.0,8.0,0
180753,AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,0-35,N,0,120,785.0,46.0,261.0,0.0,1.0,125.0,54.0,0.0,0.0,316.0,1
181316,AAA,2013J,F,South West Region,A Level or Equivalent,80-90%,35-55,N,0,120,457.0,18.0,220.0,0.0,6.0,50.0,25.0,1.0,0.0,151.0,0
183096,AAA,2013J,F,South West Region,A Level or Equivalent,60-70%,0-35,N,0,60,897.0,39.0,470.0,0.0,5.0,165.0,77.0,0.0,0.0,140.0,1
183947,AAA,2013J,M,London Region,A Level or Equivalent,10-20,0-35,N,0,180,350.0,17.0,160.0,0.0,9.0,67.0,24.0,0.0,0.0,88.0,1
184271,AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,N,0,170,606.0,48.0,305.0,0.0,6.0,150.0,26.0,1.0,1.0,112.0,1
185439,AAA,2013J,M,London Region,HE Qualification,10-20,0-35,N,0,120,427.0,15.0,250.0,0.0,16.0,75.0,41.0,1.0,4.0,39.0,0
186149,AAA,2013J,M,Scotland,HE Qualification,30-40%,35-55,N,0,60,933.0,33.0,302.0,0.0,27.0,188.0,60.0,2.0,11.0,303.0,1
187100,AAA,2013J,M,South East Region,A Level or Equivalent,50-60%,35-55,N,0,60,3471.0,64.0,838.0,0.0,9.0,778.0,298.0,0.0,0.0,1413.0,1
188278,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,N,0,120,1366.0,44.0,522.0,0.0,5.0,331.0,123.0,0.0,3.0,330.0,0
189879,AAA,2013J,M,Scotland,A Level or Equivalent,90-100%,0-35,N,0,120,560.0,26.0,177.0,0.0,1.0,129.0,50.0,0.0,1.0,166.0,1
192183,AAA,2013J,F,South West Region,Lower Than A Level,90-100%,0-35,N,0,60,984.0,50.0,491.0,0.0,4.0,225.0,96.0,0.0,0.0,108.0,1
195262,AAA,2013J,M,London Region,A Level or Equivalent,90-100%,0-35,N,0,60,655.0,17.0,372.0,0.0,4.0,91.0,32.0,0.0,0.0,134.0,0
200860,AAA,2013J,M,London Region,Lower Than A Level,50-60%,35-55,N,0,60,295.0,29.0,65.0,0.0,6.0,103.0,46.0,0.0,0.0,73.0,1
202635,AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,N,0,60,940.0,28.0,224.0,0.0,6.0,204.0,32.0,0.0,8.0,463.0,0
205350,AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,N,0,60,915.0,39.0,314.0,0.0,56.0,177.0,66.0,0.0,3.0,273.0,1
205719,AAA,2013J,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,Y,0,90,244.0,14.0,167.0,0.0,1.0,44.0,17.0,0.0,0.0,9.0,0
227499,AAA,2013J,F,London Region,A Level or Equivalent,10-20,35-55,N,0,60,1294.0,53.0,332.0,0.0,11.0,245.0,50.0,0.0,0.0,600.0,1
227517,AAA,2013J,M,Ireland,HE Qualification,,0-35,N,0,180,808.0,34.0,434.0,0.0,0.0,130.0,61.0,0.0,1.0,174.0,0
228082,AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,N,0,60,103.0,14.0,34.0,0.0,0.0,23.0,21.0,0.0,0.0,25.0,1
228222,AAA,2013J,M,East Midlands Region,Lower Than A Level,50-60%,0-35,N,0,60,163.0,10.0,50.0,0.0,2.0,50.0,23.0,0.0,0.0,27.0,1
229179,AAA,2013J,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,N,0,60,362.0,19.0,190.0,0.0,5.0,76.0,31.0,0.0,0.0,54.0,1
229361,AAA,2013J,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,N,0,60,363.0,34.0,225.0,0.0,1.0,81.0,33.0,0.0,0.0,5.0,1
231554,AAA,2013J,M,London Region,A Level or Equivalent,40-50%,0-35,N,0,240,961.0,38.0,562.0,0.0,2.0,164.0,37.0,0.0,0.0,191.0,1
235507,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,N,0,240,190.0,21.0,129.0,0.0,4.0,34.0,14.0,0.0,0.0,6.0,0
236284,AAA,2013J,M,Scotland,Post Graduate Qualification,90-100%,0-35,N,0,60,190.0,13.0,125.0,0.0,3.0,30.0,25.0,0.0,0.0,3.0,1
238007,AAA,2013J,M,South Region,HE Qualification,90-100%,55<=,N,0,60,627.0,42.0,329.0,0.0,11.0,134.0,46.0,3.0,0.0,83.0,1
240712,AAA,2013J,M,London Region,HE Qualification,80-90%,0-35,N,0,80,113.0,11.0,61.0,0.0,2.0,25.0,13.0,0.0,0.0,10.0,1
240884,AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,N,0,120,218.0,11.0,100.0,0.0,3.0,36.0,47.0,0.0,0.0,28.0,1
241649,AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,35-55,N,0,60,873.0,44.0,566.0,0.0,4.0,159.0,71.0,0.0,0.0,44.0,1
241729,AAA,2013J,F,East Midlands Region,HE Qualification,60-70%,35-55,N,0,60,405.0,21.0,223.0,0.0,5.0,78.0,42.0,0.0,0.0,40.0,0
242793,AAA,2013J,M,London Region,HE Qualification,20-30%,35-55,N,0,60,236.0,14.0,139.0,0.0,13.0,46.0,32.0,0.0,0.0,5.0,1
246834,AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,35-55,N,0,60,522.0,28.0,211.0,0.0,1.0,87.0,50.0,0.0,0.0,157.0,1
248270,AAA,2013J,M,North Western Region,Lower Than A Level,20-30%,0-35,N,0,90,1008.0,58.0,318.0,0.0,6.0,458.0,38.0,0.0,3.0,161.0,1
255548,AAA,2013J,M,Wales,Lower Than A Level,20-30%,35-55,N,0,60,1475.0,55.0,508.0,0.0,2.0,296.0,111.0,2.0,0.0,498.0,1
256815,AAA,2013J,M,North Western Region,HE Qualification,10-20,0-35,N,0,120,450.0,21.0,245.0,0.0,6.0,120.0,43.0,0.0,0.0,26.0,1
258392,AAA,2013J,F,West Midlands Region,Lower Than A Level,30-40%,0-35,N,0,60,275.0,19.0,115.0,0.0,4.0,44.0,41.0,0.0,1.0,55.0,1
258894,AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,35-55,N,0,60,1143.0,56.0,396.0,0.0,4.0,286.0,41.0,0.0,0.0,416.0,1
260355,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,N,0,60,246.0,20.0,131.0,0.0,2.0,73.0,9.0,0.0,0.0,29.0,0
262011,AAA,2013J,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,N,0,60,484.0,26.0,219.0,0.0,5.0,83.0,65.0,2.0,1.0,90.0,1
262934,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,N,0,60,1343.0,38.0,529.0,0.0,13.0,318.0,134.0,0.0,0.0,310.0,1
268073,AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,N,0,90,1281.0,34.0,347.0,0.0,7.0,238.0,85.0,0.0,0.0,559.0,0
268733,AAA,2013J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,N,0,180,141.0,7.0,101.0,0.0,0.0,20.0,11.0,0.0,0.0,7.0,0
271251,AAA,2013J,M,Scotland,A Level or Equivalent,80-90%,35-55,N,0,60,1551.0,46.0,772.0,0.0,27.0,325.0,206.0,0.0,0.0,74.0,1
277880,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,N,0,60,1252.0,31.0,567.0,0.0,6.0,221.0,86.0,7.0,1.0,364.0,0
279572,AAA,2013J,M,London Region,Lower Than A Level,40-50%,0-35,N,0,60,515.0,22.0,322.0,0.0,5.0,82.0,64.0,0.0,0.0,41.0,1
281022,AAA,2013J,F,Scotland,A Level or Equivalent,30-40%,0-35,N,0,150,227.0,21.0,158.0,0.0,0.0,40.0,19.0,0.0,0.0,8.0,1
281250,AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,N,0,60,100.0,9.0,38.0,0.0,2.0,22.0,14.0,0.0,0.0,22.0,0
281589,AAA,2013J,M,North Western Region,HE Qualification,30-40%,0-35,N,0,60,54.0,7.0,17.0,0.0,0.0,15.0,1.0,0.0,0.0,21.0,0
282821,AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,N,0,60,1077.0,34.0,600.0,0.0,7.0,174.0,95.0,1.0,0.0,172.0,1
286488,AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,35-55,N,0,60,354.0,19.0,231.0,0.0,4.0,48.0,40.0,1.0,0.0,14.0,1
287548,AAA,2013J,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,N,0,120,290.0,19.0,218.0,0.0,1.0,49.0,9.0,0.0,1.0,10.0,1
290201,AAA,2013J,M,Wales,A Level or Equivalent,20-30%,0-35,N,0,60,762.0,28.0,443.0,0.0,2.0,140.0,90.0,0.0,1.0,47.0,1
290757,AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,N,0,60,184.0,11.0,67.0,0.0,1.0,35.0,23.0,0.0,0.0,55.0,1
291334,AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,35-55,N,0,60,2000.0,58.0,661.0,0.0,11.0,308.0,118.0,6.0,1.0,839.0,1
292923,AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,N,0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
293699,AAA,2013J,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,N,0,120,32.0,7.0,11.0,0.0,0.0,15.0,3.0,0.0,0.0,3.0,1
294570,AAA,2013J,M,South East Region,HE Qualification,90-100%,55<=,N,0,60,720.0,32.0,367.0,0.0,15.0,156.0,33.0,0.0,1.0,145.0,1
294594,AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,0-35,N,0,60,340.0,26.0,235.0,0.0,1.0,72.0,22.0,0.0,0.0,1.0,1
295741,AAA,2013J,M,South East Region,A Level or Equivalent,40-50%,35-55,N,0,240,437.0,32.0,170.0,0.0,11.0,113.0,52.0,0.0,0.0,80.0,0
296332,AAA,2013J,M,South Region,Post Graduate Qualification,90-100%,55<=,N,0,60,798.0,34.0,489.0,0.0,24.0,116.0,23.0,1.0,3.0,131.0,1
298696,AAA,2013J,F,South East Region,HE Qualification,80-90%,0-35,N,0,60,275.0,24.0,137.0,0.0,4.0,65.0,28.0,0.0,0.0,30.0,1
300398,AAA,2013J,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,N,0,60,744.0,33.0,319.0,0.0,0.0,147.0,96.0,0.0,0.0,170.0,1
302302,AAA,2013J,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,N,0,60,322.0,14.0,129.0,0.0,4.0,63.0,44.0,0.0,0.0,82.0,0
305152,AAA,2013J,M,North Western Region,A Level or Equivalent,70-80%,0-35,N,0,60,127.0,9.0,45.0,0.0,1.0,35.0,9.0,0.0,0.0,37.0,0
305386,AAA,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,Y,0,120,617.0,32.0,427.0,0.0,10.0,128.0,32.0,0.0,0.0,14.0,1
305539,AAA,2013J,F,Wales,Lower Than A Level,80-90%,0-35,N,0,120,68.0,6.0,24.0,0.0,1.0,22.0,6.0,0.0,0.0,14.0,0
306107,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,N,0,120,357.0,24.0,182.0,0.0,8.0,91.0,48.0,0.0,0.0,14.0,1
306466,AAA,2013J,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,N,0,60,556.0,33.0,282.0,0.0,4.0,92.0,12.0,1.0,1.0,154.0,1
306897,AAA,2013J,F,London Region,A Level or Equivalent,10-20,0-35,N,0,60,1528.0,62.0,220.0,0.0,17.0,417.0,53.0,0.0,0.0,811.0,1
307061,AAA,2013J,F,East Midlands Region,HE Qualification,10-20,0-35,N,0,60,422.0,30.0,183.0,0.0,5.0,96.0,39.0,0.0,0.0,67.0,1
307866,AAA,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,N,0,60,627.0,26.0,287.0,0.0,5.0,131.0,63.0,0.0,1.0,125.0,1
311917,AAA,2013J,M,South West Region,A Level or Equivalent,60-70%,55<=,N,0,120,878.0,35.0,511.0,0.0,8.0,161.0,86.0,0.0,0.0,70.0,1
312537,AAA,2013J,M,South Region,Post Graduate Qualification,90-100%,55<=,N,0,60,5553.0,66.0,747.0,0.0,37.0,1998.0,108.0,0.0,3.0,2608.0,1
312782,AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,N,0,60,179.0,14.0,28.0,0.0,11.0,82.0,19.0,0.0,0.0,38.0,1
318933,AAA,2013J,F,East Anglian Region,HE Qualification,80-90%,0-35,N,0,120,625.0,40.0,258.0,0.0,9.0,198.0,55.0,0.0,0.0,98.0,1
319047,AAA,2013J,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,N,0,60,1462.0,53.0,438.0,0.0,11.0,205.0,63.0,0.0,1.0,711.0,1
321942,AAA,2013J,M,South Region,HE Qualification,90-100%,55<=,N,0,60,4107.0,61.0,891.0,0.0,12.0,693.0,163.0,0.0,2.0,2252.0,1
324002,AAA,2013J,M,East Anglian Region,HE Qualification,40-50%,35-55,N,0,60,890.0,40.0,490.0,0.0,6.0,148.0,88.0,0.0,0.0,118.0,1
324084,AAA,2013J,F,South West Region,A Level or Equivalent,10-20,35-55,N,0,60,604.0,31.0,298.0,0.0,5.0,160.0,11.0,0.0,0.0,124.0,1
324282,AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,0-35,N,0,120,70.0,12.0,24.0,0.0,1.0,19.0,11.0,0.0,0.0,15.0,1
331358,AAA,2013J,F,South Region,HE Qualification,90-100%,35-55,N,0,60,2376.0,45.0,987.0,0.0,75.0,354.0,78.0,1.0,2.0,857.0,0
332789,AAA,2013J,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,N,0,60,685.0,22.0,285.0,0.0,6.0,103.0,42.0,0.0,2.0,232.0,1
333059,AAA,2013J,M,Scotland,A Level or Equivalent,20-30%,0-35,N,0,120,76.0,11.0,38.0,0.0,0.0,18.0,14.0,0.0,0.0,5.0,1
333323,AAA,2013J,M,Scotland,HE Qualification,80-90%,0-35,N,0,60,239.0,12.0,132.0,0.0,4.0,54.0,23.0,0.0,0.0,20.0,1
334259,AAA,2013J,F,London Region,A Level or Equivalent,50-60%,0-35,N,0,150,270.0,17.0,119.0,0.0,3.0,63.0,22.0,0.0,0.0,62.0,0
334333,AAA,2013J,F,South West Region,A Level or Equivalent,0-10%,0-35,Y,0,240,285.0,27.0,66.0,0.0,2.0,91.0,16.0,0.0,0.0,104.0,0
335764,AAA,2013J,F,South East Region,A Level or Equivalent,20-30%,0-35,N,0,60,1479.0,50.0,259.0,0.0,4.0,360.0,54.0,0.0,0.0,768.0,0
336207,AAA,2013J,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,N,0,120,676.0,36.0,369.0,0.0,1.0,118.0,51.0,0.0,0.0,130.0,1
339972,AAA,2013J,M,North Region,A Level or Equivalent,80-90%,0-35,N,0,60,129.0,11.0,49.0,0.0,3.0,41.0,25.0,0.0,0.0,2.0,1
